,bedrooms,beds,accommodates,amenities_count,instant_bookable,minimum_nights,number_of_reviews,bathrooms,monthly_revenue,room_type_Entire_home_apt,room_type_Hotel_room,room_type_Private_room,room_type_Shared_room
110,1.0,1.0,4,23,0,30,28,1.0,1,1,0,0,0
111,1.0,1.0,2,10,0,30,0,1.0,0,1,0,0,0
112,0.0,1.0,1,15,0,30,2,1.0,0,0,0,1,0
113,1.0,1.0,1,7,0,30,0,1.0,0,0,0,1,0
114,0.0,1.0,2,10,0,1,0,1.0,0,0,0,1,0
115,0.0,1.0,2,5,0,30,0,1.0,1,0,0,1,0
117,1.0,1.0,2,34,0,30,16,1.0,0,1,0,0,0
118,1.0,1.0,2,14,0,30,0,1.0,1,0,0,1,0
120,3.0,4.0,8,35,0,2,0,2.0,0,1,0,0,0
121,0.0,2.0,2,17,0,30,1,1.0,1,0,0,1,0
122,0.0,1.0,1,13,0,30,1,1.0,1,0,0,1,0
123,1.0,2.0,3,19,0,3,7,1.0,1,1,0,0,0
124,0.0,2.0,2,21,0,30,4,1.0,0,0,0,1,0
125,0.0,1.0,1,6,0,30,1,1.0,1,1,0,0,0
127,1.0,1.0,2,15,0,2,32,1.0,0,1,0,0,0
128,3.0,3.0,6,64,1,4,10,2.0,1,1,0,0,0
129,1.0,1.0,2,17,0,30,0,0.0,1,0,0,1,0
131,0.0,1.0,2,56,0,2,38,1.0,0,0,0,1,0
132,0.0,1.0,1,20,0,30,0,1.0,0,0,0,1,0
133,0.0,2.0,2,14,0,1,1,1.0,1,0,0,1,0
134,3.0,3.0,6,47,0,30,10,3.0,1,1,0,0,0
135,2.0,3.0,4,12,0,30,0,1.0,1,1,0,0,0
136,0.0,1.0,2,13,0,1,14,2.0,0,0,0,1,0
137,1.0,1.0,1,9,0,130,0,1.0,0,1,0,0,0
138,1.0,1.0,3,30,1,30,0,1.0,0,1,0,0,0
139,1.0,1.0,1,10,0,1,0,1.0,0,0,0,1,0
140,0.0,1.0,2,16,0,1,2,1.0,0,0,0,1,0
141,1.0,1.0,2,7,0,20,3,1.0,0,1,0,0,0
142,0.0,1.0,1,5,0,30,0,1.0,1,0,0,0,1
144,0.0,2.0,4,20,0,1,3,2.0,0,0,0,1,0
145,0.0,1.0,1,8,0,30,0,1.0,0,0,0,1,0
146,0.0,1.0,1,21,0,30,2,1.0,0,0,0,1,0
147,0.0,0.0,2,18,0,30,7,1.0,1,1,0,0,0
148,1.0,1.0,3,0,0,31,0,1.0,1,0,0,1,0
149,1.0,2.0,3,11,0,30,1,2.0,1,1,0,0,0
150,0.0,1.0,2,2,0,2,4,1.0,0,0,0,1,0
153,0.0,1.0,2,53,1,2,206,1.0,1,1,0,0,0
154,0.0,0.0,2,9,0,1,0,1.0,0,0,0,1,0
156,0.0,1.0,2,21,1,3,63,1.0,1,0,0,1,0
157,2.0,3.0,5,20,0,30,0,2.0,1,1,0,0,0
158,1.0,1.0,2,7,1,1,0,1.0,0,0,0,1,0
159,0.0,1.0,1,2,0,7,0,0.0,1,0,0,1,0
162,1.0,1.0,3,21,1,2,6,1.0,0,1,0,0,0
163,2.0,2.0,5,56,1,30,5,2.0,0,1,0,0,0
164,6.0,12.0,14,17,1,1,0,6.0,1,1,0,0,0
165,2.0,2.0,4,17,0,30,0,2.0,1,1,0,0,0
166,2.0,2.0,4,60,0,2,199,1.0,1,1,0,0,0
167,0.0,1.0,1,49,0,2,8,1.0,0,0,0,1,0
168,0.0,1.0,2,57,0,2,7,1.0,1,1,0,0,0
171,1.0,1.0,2,11,1,1,5,1.0,1,0,0,1,0
172,0.0,2.0,3,12,0,2,3,1.0,0,0,0,1,0
173,4.0,4.0,5,52,0,31,0,2.0,1,1,0,0,0
174,0.0,1.0,1,27,0,31,168,2.0,0,0,0,1,0
176,4.0,6.0,10,47,1,4,1,2.0,1,1,0,0,0
177,9.0,50.0,16,15,0,2,0,9.0,1,1,0,0,0
179,2.0,3.0,5,62,0,3,262,1.0,1,1,0,0,0
180,0.0,4.0,1,36,1,30,55,1.0,0,0,0,0,1
181,1.0,1.0,2,23,1,1,13,1.0,1,1,0,0,0
182,1.0,2.0,4,10,1,1,0,2.0,0,0,0,1,0
183,1.0,1.0,2,47,0,2,33,1.0,1,0,0,1,0
184,1.0,3.0,4,9,0,30,0,1.0,0,1,0,0,0
185,4.0,4.0,8,57,0,1,6,3.0,0,1,0,0,0
187,3.0,4.0,5,61,0,2,44,2.0,1,1,0,0,0
188,3.0,3.0,8,62,1,30,1,3.0,1,1,0,0,0
189,1.0,1.0,2,49,0,30,1,1.0,0,1,0,0,0
190,5.0,5.0,12,13,0,1,0,5.0,0,1,0,0,0
191,0.0,1.0,1,26,0,14,1,1.0,0,0,0,1,0
193,1.0,1.0,2,47,0,1,27,1.0,0,1,0,0,0
194,1.0,1.0,2,23,0,2,152,1.0,0,1,0,0,0
198,1.0,1.0,2,43,1,1,6,1.0,0,1,0,0,0
199,3.0,3.0,5,43,0,2,23,1.0,0,1,0,0,0
200,0.0,1.0,2,16,0,2,52,1.0,1,0,0,1,0
201,1.0,2.0,3,54,0,3,224,1.0,1,1,0,0,0
202,3.0,4.0,6,42,0,2,173,2.0,1,1,0,0,0
203,5.0,6.0,12,71,0,30,2,4.0,1,1,0,0,0
204,4.0,4.0,8,79,0,3,52,3.0,1,1,0,0,0
209,0.0,1.0,1,60,1,1,2,1.0,1,0,0,1,0
210,0.0,1.0,2,22,1,2,59,1.0,0,1,0,0,0
211,3.0,3.0,8,60,0,2,2,2.0,1,1,0,0,0
216,0.0,1.0,2,65,0,2,123,1.0,0,0,0,1,0
220,0.0,2.0,4,59,1,2,8,1.0,0,0,0,1,0
221,1.0,1.0,4,48,0,1,36,1.0,0,1,0,0,0
222,4.0,4.0,8,9,0,29,0,3.0,1,1,0,0,0
